"kind","name","seed","source","archive","lines","counts","note"
"final_trainval_single_seed","final_atc_chz_lr0015_ema0997_nomix_wd0_seed2026_ep260","2026","C:\Users\48698\Desktop\-2026-\experiments\final_trainval_retrain_v2_results\final_atc_chz_lr0015_ema0997_nomix_wd0_seed2026_ep260\BCIC2A.txt","C:\Users\48698\Desktop\-2026-\experiments\final_label_archive_by_seed\single_seed_txt\final_atc_chz_lr0015_ema0997_nomix_wd0_seed2026_ep260.txt","360","86,101,87,86","final shadow single exported txt"
"final_trainval_single_seed","final_atc_chz_lr0015_ema0997_nomix_wd0_seed37_ep340","37","C:\Users\48698\Desktop\-2026-\experiments\final_trainval_retrain_v2_results\final_atc_chz_lr0015_ema0997_nomix_wd0_seed37_ep340\BCIC2A.txt","C:\Users\48698\Desktop\-2026-\experiments\final_label_archive_by_seed\single_seed_txt\final_atc_chz_lr0015_ema0997_nomix_wd0_seed37_ep340.txt","360","90,88,99,83","final shadow single exported txt"
"final_trainval_single_seed","final_eegnet_chz_lr0016_ls003_seed101_ep760","101","C:\Users\48698\Desktop\-2026-\experiments\final_trainval_retrain_v2_results\final_eegnet_chz_lr0016_ls003_seed101_ep760\BCIC2A.txt","C:\Users\48698\Desktop\-2026-\experiments\final_label_archive_by_seed\single_seed_txt\final_eegnet_chz_lr0016_ls003_seed101_ep760.txt","360","100,120,71,69","final shadow single exported txt"
"final_trainval_single_seed","final_eegnet_chz_lr0018_ls003_seed888_ep760","888","C:\Users\48698\Desktop\-2026-\experiments\final_trainval_retrain_v2_results\final_eegnet_chz_lr0018_ls003_seed888_ep760\BCIC2A.txt","C:\Users\48698\Desktop\-2026-\experiments\final_label_archive_by_seed\single_seed_txt\final_eegnet_chz_lr0018_ls003_seed888_ep760.txt","360","95,117,78,70","final shadow single exported txt"
"final_trainval_single_seed","final_s2_eegnet_chz_lr0016_ls003_w2p5_seed314_ep760","314","C:\Users\48698\Desktop\-2026-\experiments\final_trainval_retrain_v2_results\final_s2_eegnet_chz_lr0016_ls003_w2p5_seed314_ep760\BCIC2A.txt","C:\Users\48698\Desktop\-2026-\experiments\final_label_archive_by_seed\single_seed_txt\final_s2_eegnet_chz_lr0016_ls003_w2p5_seed314_ep760.txt","360","90,126,72,72","final shadow single exported txt"
"final_trainval_single_seed","final_s6_atc_chz_lr0015_ema0997_w1p75_seed37_ep225","37","C:\Users\48698\Desktop\-2026-\experiments\final_trainval_retrain_v2_results\final_s6_atc_chz_lr0015_ema0997_w1p75_seed37_ep225\BCIC2A.txt","C:\Users\48698\Desktop\-2026-\experiments\final_label_archive_by_seed\single_seed_txt\final_s6_atc_chz_lr0015_ema0997_w1p75_seed37_ep225.txt","360","84,103,90,83","final shadow single exported txt"
"final_trainval_single_seed","final_s8_atc_chz_lr0015_ema0997_w1p75_seed2026_ep220","2026","C:\Users\48698\Desktop\-2026-\experiments\final_trainval_retrain_v2_results\final_s8_atc_chz_lr0015_ema0997_w1p75_seed2026_ep220\BCIC2A.txt","C:\Users\48698\Desktop\-2026-\experiments\final_label_archive_by_seed\single_seed_txt\final_s8_atc_chz_lr0015_ema0997_w1p75_seed2026_ep220.txt","360","88,95,93,84","final shadow single exported txt"
"fused_candidate","breakthrough_round1_regular_fusion_best","","C:\Users\48698\Desktop\-2026-\experiments\final_candidate_backups\breakthrough_round1_regular_fusion_best\BCIC2A.txt","C:\Users\48698\Desktop\-2026-\experiments\final_label_archive_by_seed\fused_candidates\breakthrough_round1_regular_fusion_best.txt","360","75,104,90,91","not a single seed"
"fused_candidate","current_highest_nonquota","","C:\Users\48698\Desktop\-2026-\experiments\final_candidate_backups\current_highest_nonquota\BCIC2A.txt","C:\Users\48698\Desktop\-2026-\experiments\final_label_archive_by_seed\fused_candidates\current_highest_nonquota.txt","360","76,106,87,91","not a single seed"
"fused_candidate","late_three_hour_fusion_best","","C:\Users\48698\Desktop\-2026-\experiments\final_candidate_backups\late_three_hour_fusion_best\BCIC2A.txt","C:\Users\48698\Desktop\-2026-\experiments\final_label_archive_by_seed\fused_candidates\late_three_hour_fusion_best.txt","360","78,104,83,95","not a single seed"
